time,energy_cashflow,energy_generation_costs,heat,power,simulation,unit
2019-01-01 17:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 17:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 17:00:00,-3.0338e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 17:00:00,50564,18000,0,1000,base_op_base,pp_3
2019-01-01 17:00:00,0,0,0,0,base_op_base,pp_5
2019-01-01 18:00:00,54000,0,0,1000,base_op_base,Solar
2019-01-01 18:00:00,54000,12000,0,1000,base_op_base,pp_1
2019-01-01 18:00:00,54000,12000,0,1000,base_op_base,pp_2
2019-01-01 18:00:00,54000,24000,0,1000,base_op_base,pp_4
2019-01-01 18:00:00,27000,27000,0,500,base_op_base,pp_7
2019-01-01 18:00:00,27000,27000,0,500,base_op_base,pp_8
2019-01-01 18:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 18:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 18:00:00,-3.24e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 18:00:00,54000,18000,0,1000,base_op_base,pp_3
2019-01-01 18:00:00,0,0,0,0,base_op_base,pp_5
2019-01-01 19:00:00,0,0,0,0,base_op_base,Solar
2019-01-01 19:00:00,71772,12000,0,1000,base_op_base,pp_1
2019-01-01 19:00:00,71772,12000,0,1000,base_op_base,pp_2
2019-01-01 19:00:00,71772,24000,0,1000,base_op_base,pp_4
2019-01-01 19:00:00,35886,27000,0,500,base_op_base,pp_7
2019-01-01 19:00:00,35886,27000,0,500,base_op_base,pp_8
2019-01-01 19:00:00,35886,27000,0,500,base_op_base,pp_9
2019-01-01 19:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 19:00:00,-4.3063e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 19:00:00,71772,18000,0,1000,base_op_base,pp_3
2019-01-01 19:00:00,35886,12000,0,500,base_op_base,pp_5
2019-01-01 20:00:00,0,0,0,0,base_op_base,Solar
2019-01-01 20:00:00,71810,12000,0,1000,base_op_base,pp_1
2019-01-01 20:00:00,71810,12000,0,1000,base_op_base,pp_2
2019-01-01 20:00:00,71810,24000,0,1000,base_op_base,pp_4
2019-01-01 20:00:00,35905,27000,0,500,base_op_base,pp_7
2019-01-01 20:00:00,35905,27000,0,500,base_op_base,pp_8
2019-01-01 20:00:00,35905,27000,0,500,base_op_base,pp_9
2019-01-01 20:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 20:00:00,-4.3086e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 20:00:00,71810,18000,0,1000,base_op_base,pp_3
2019-01-01 20:00:00,35905,12000,0,500,base_op_base,pp_5
2019-01-01 21:00:00,0,0,0,0,base_op_base,Solar
2019-01-01 21:00:00,71832,12000,0,1000,base_op_base,pp_1
2019-01-01 21:00:00,71832,12000,0,1000,base_op_base,pp_2
2019-01-01 21:00:00,71832,24000,0,1000,base_op_base,pp_4
2019-01-01 21:00:00,35916,27000,0,500,base_op_base,pp_7
2019-01-01 21:00:00,35916,27000,0,500,base_op_base,pp_8
2019-01-01 21:00:00,35916,27000,0,500,base_op_base,pp_9
2019-01-01 21:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 21:00:00,-4.3099e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 21:00:00,71832,18000,0,1000,base_op_base,pp_3
2019-01-01 21:00:00,35916,12000,0,500,base_op_base,pp_5
2019-01-01 22:00:00,0,0,0,0,base_op_base,Solar
2019-01-01 22:00:00,71843,12000,0,1000,base_op_base,pp_1
2019-01-01 22:00:00,71843,12000,0,1000,base_op_base,pp_2
2019-01-01 22:00:00,71843,24000,0,1000,base_op_base,pp_4
2019-01-01 22:00:00,35922,27000,0,500,base_op_base,pp_7
2019-01-01 22:00:00,35922,27000,0,500,base_op_base,pp_8
2019-01-01 22:00:00,35922,27000,0,500,base_op_base,pp_9
2019-01-01 22:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 22:00:00,-4.3106e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 22:00:00,71843,18000,0,1000,base_op_base,pp_3
2019-01-01 22:00:00,35922,12000,0,500,base_op_base,pp_5
2019-01-01 23:00:00,0,0,0,0,base_op_base,Solar
2019-01-01 23:00:00,71848,12000,0,1000,base_op_base,pp_1
2019-01-01 23:00:00,71848,12000,0,1000,base_op_base,pp_2
2019-01-01 23:00:00,71848,24000,0,1000,base_op_base,pp_4
