,datetime,market_id,power,simulation,unit_id
22134,2019-01-18 21:00:00,EOM,13,germany_mc_base_case_2019,KARLSRUHE WEST 2
22135,2019-01-18 21:00:00,EOM,13,germany_mc_base_case_2019,KARLSRUHE WEST 1
22136,2019-01-18 21:00:00,EOM,13,germany_mc_base_case_2019,KW ZIELITZ
22137,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,HKW UNTERBREIZBACH
22138,2019-01-18 21:00:00,EOM,25,germany_mc_base_case_2019,WERDOHL ELVERLINGSEN 1
22139,2019-01-18 21:00:00,EOM,30,germany_mc_base_case_2019,WERDOHL ELVERLINGSEN 2
22140,2019-01-18 21:00:00,EOM,315,germany_mc_base_case_2019,WERDOHL ELVERLINGSEN E4
22141,2019-01-18 21:00:00,EOM,170,germany_mc_base_case_2019,KW HERDECKE CUNO MARK E
22142,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,HKW HAGEN KABEL
22143,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Rönkhausen
22144,2019-01-18 21:00:00,EOM,750,germany_mc_base_case_2019,LUENEN 2 STUMMHAFEN
22145,2019-01-18 21:00:00,EOM,160,germany_mc_base_case_2019,HAMM UENTROP BLOCK 10
22146,2019-01-18 21:00:00,EOM,160,germany_mc_base_case_2019,HAMM UENTROP BLOCK 20
22147,2019-01-18 21:00:00,EOM,-543,germany_mc_base_case_2019,DE_LU
22148,2019-01-18 21:00:00,EOM,-1768,germany_mc_base_case_2019,DE_CH
22149,2019-01-18 21:00:00,EOM,-5534,germany_mc_base_case_2019,DE_FR
22150,2019-01-18 21:00:00,EOM,691,germany_mc_base_case_2019,DE_CZ
22151,2019-01-18 21:00:00,EOM,-3172,germany_mc_base_case_2019,DE_AT
22152,2019-01-18 21:00:00,EOM,10,germany_mc_base_case_2019,DE_NL
22153,2019-01-18 21:00:00,EOM,1485,germany_mc_base_case_2019,DE_DK
22154,2019-01-18 21:00:00,EOM,615,germany_mc_base_case_2019,DE_SE
22155,2019-01-18 21:00:00,EOM,400,germany_mc_base_case_2019,DE_PL
22156,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,GTKW DARMSTADT GT 2
22157,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,GTKW DARMSTADT GT 1
22158,2019-01-18 21:00:00,EOM,14,germany_mc_base_case_2019,KW LANDESBERGEN GT
22159,2019-01-18 21:00:00,EOM,13,germany_mc_base_case_2019,KW EMDEN BLOCK 4 GT
22160,2019-01-18 21:00:00,EOM,180,germany_mc_base_case_2019,GUD HUERTH KNAPSACK 2
22161,2019-01-18 21:00:00,EOM,320,germany_mc_base_case_2019,GUD HUERTH KNAPSACK 1
22162,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Erzhausen
22163,2019-01-18 21:00:00,EOM,16,germany_mc_base_case_2019,HKW SUD SAARBRUECKEN
22164,2019-01-18 21:00:00,EOM,17,germany_mc_base_case_2019,INDUSTRIEKRAFTWERK BERNBURG (IKB)
22165,2019-01-18 21:00:00,EOM,790,germany_mc_base_case_2019,WALSUM 10
22166,2019-01-18 21:00:00,EOM,500,germany_mc_base_case_2019,HERNE BLOCK 4
22167,2019-01-18 21:00:00,EOM,212,germany_mc_base_case_2019,HKW FENNE C
22168,2019-01-18 21:00:00,EOM,80,germany_mc_base_case_2019,MKW FENNE B
22169,2019-01-18 21:00:00,EOM,410,germany_mc_base_case_2019,WALSUM BLOCK 9
22170,2019-01-18 21:00:00,EOM,310,germany_mc_base_case_2019,BEXBACH C 1
22171,2019-01-18 21:00:00,EOM,290,germany_mc_base_case_2019,WEIHER 3
22172,2019-01-18 21:00:00,EOM,60,germany_mc_base_case_2019,GUD LEUNA
22173,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,KW LEUNA GT 3
22174,2019-01-18 21:00:00,EOM,30,germany_mc_base_case_2019,PFORZHEIM III NO 1
22175,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,HKW PFORZHEIM
22176,2019-01-18 21:00:00,EOM,50,germany_mc_base_case_2019,DKW BGH O1 BURGHAUSEN WACKER CHEMIE
22177,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Koepchenwerk Herdecke II
22178,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Wehr
22179,2019-01-18 21:00:00,EOM,82,germany_mc_base_case_2019,MERKENICH BLOCK 6
22180,2019-01-18 21:00:00,EOM,170,germany_mc_base_case_2019,KOELN NIEHL 2
